feature,score
D1_range_pct,212.21380274580713
H4_range_pct,192.7064247317054
D1_low_wick_pct,108.23129078023665
H4_low_wick_pct,100.37069636091684
D1_high_wick_pct,96.20072145823669
H4_high_wick_pct,80.06506123287053
D1_volume_vs_volume_MA_20_pct,45.481757821415535
D1_RSI_14,28.03461274523997
H4_MA_60_norm,22.460300563994085
D1_MA_14_norm,20.76862894365334
D1_MA_7_norm,20.342152781723694
H4_MA_7_MA_60_norm,19.8244554311457
H4_MA_20_MA_60_norm,19.59648249874761
H4_MA_14_MA_60_norm,19.35053721197879
D1_MA_60_MA_120_norm,18.43723282644307
H4_close_vs_lagging_span_pct,17.967919058615767
D1_MACD_signal,15.879921013400525
H4_close_vs_leading_span_B_pct,14.84324856145824
D1_MACD_line,14.362462902329106
H4_MA_20_norm,13.670838216358197
