window,threshold,ratio,fold_balance,fold_ratios,samples
40,0.14,0.079,0.060,"0.144,0.159,0.029,0.046,0.017",11737
41,0.14,0.080,0.061,"0.146,0.161,0.029,0.048,0.017",11737
42,0.14,0.082,0.062,"0.149,0.164,0.031,0.049,0.018",11737
43,0.14,0.084,0.062,"0.151,0.167,0.033,0.050,0.020",11737
44,0.14,0.086,0.063,"0.153,0.170,0.034,0.052,0.020",11737
45,0.14,0.088,0.064,"0.156,0.175,0.035,0.055,0.022",11737
46,0.14,0.090,0.064,"0.158,0.177,0.036,0.056,0.022",11737
47,0.14,0.092,0.066,"0.160,0.182,0.037,0.058,0.023",11737
48,0.14,0.093,0.066,"0.161,0.184,0.039,0.060,0.023",11737
49,0.14,0.095,0.067,"0.163,0.188,0.040,0.061,0.023",11737
50,0.14,0.097,0.068,"0.164,0.191,0.043,0.064,0.023",11737
40,0.13,0.094,0.068,"0.169,0.183,0.035,0.054,0.028",11737
51,0.14,0.099,0.068,"0.165,0.194,0.046,0.065,0.023",11737
41,0.13,0.095,0.068,"0.170,0.186,0.036,0.056,0.029",11737
42,0.13,0.097,0.069,"0.172,0.190,0.037,0.058,0.029",11737
52,0.14,0.100,0.069,"0.167,0.199,0.048,0.066,0.023",11737
43,0.13,0.100,0.070,"0.175,0.193,0.039,0.061,0.030",11737
40,0.10,0.152,0.070,"0.219,0.252,0.088,0.120,0.083",11737
40,0.11,0.129,0.070,"0.207,0.218,0.067,0.096,0.055",11737
53,0.14,0.102,0.070,"0.167,0.203,0.050,0.068,0.023",11737
44,0.13,0.102,0.070,"0.178,0.196,0.041,0.065,0.031",11737
54,0.14,0.104,0.071,"0.169,0.206,0.051,0.070,0.024",11737
40,0.12,0.111,0.071,"0.190,0.202,0.054,0.071,0.037",11737
41,0.11,0.132,0.071,"0.211,0.223,0.069,0.100,0.057",11737
41,0.10,0.155,0.071,"0.222,0.258,0.090,0.123,0.084",11737
41,0.12,0.113,0.072,"0.193,0.206,0.055,0.073,0.037",11737
45,0.13,0.104,0.072,"0.180,0.202,0.042,0.067,0.032",11737
42,0.12,0.116,0.072,"0.196,0.208,0.057,0.078,0.039",11737
42,0.11,0.134,0.072,"0.213,0.229,0.071,0.102,0.057",11737
42,0.10,0.158,0.072,"0.224,0.264,0.093,0.125,0.085",11737
43,0.11,0.136,0.072,"0.215,0.231,0.072,0.104,0.060",11737
55,0.14,0.106,0.073,"0.170,0.212,0.052,0.071,0.024",11737
46,0.13,0.107,0.073,"0.182,0.206,0.044,0.070,0.032",11737
43,0.12,0.118,0.073,"0.198,0.213,0.059,0.081,0.039",11737
